Date,technical_indicator+sentiment_score+rnn_score,datadate,daily_return_ti+ss+rnn_score,Date
2019-02-19,1000000.0,20190219,,2019-02-19
2019-02-20,998811.390629402,20190220,-0.0011886093705979484,2019-02-20
2019-02-21,993440.7282300759,20190221,-0.005377053615639893,2019-02-21
2019-02-22,995508.6886594859,20190222,0.002081614303345747,2019-02-22
2019-02-23,995095.559590503,20190223,-0.00041499293144209304,2019-02-23
2019-02-24,995826.6966605493,20190224,0.0007347405613458147,2019-02-24
2019-02-25,993379.499349729,20190225,-0.002457453007663646,2019-02-25
2019-02-26,1001049.1479164041,20190226,0.007720763889022875,2019-02-26
2019-02-27,1005043.8350850631,20190227,0.003990500543328723,2019-02-27
2019-02-28,1014338.39245071,20190228,0.009247912420516702,2019-02-28
2019-03-01,1041165.2536160772,20190301,0.026447644459707265,2019-03-01
2019-03-02,1047590.6372569213,20190302,0.006171338909484403,2019-03-02
2019-03-03,1043206.494136396,20190303,-0.004184977380100485,2019-03-03
2019-03-04,1037986.0435951359,20190304,-0.005004235087303299,2019-03-04
2019-03-05,1049104.4437290258,20190305,0.01071151216579036,2019-03-05
2019-03-06,1072160.248397292,20190306,0.021976653331402085,2019-03-06
2019-03-07,1102724.71424638,20190307,0.02850736715409541,2019-03-07
2019-03-08,1137880.7988744744,20190308,0.03188110701964342,2019-03-08
2019-03-09,1284553.6504291622,20190309,0.1289000145707424,2019-03-09
2019-03-10,1245272.4177347778,20190310,-0.03057967464516631,2019-03-10
2019-03-11,1392865.0573473205,20190311,0.11852237109774122,2019-03-11
2019-03-12,1426307.0872491512,20190312,0.02400952606673923,2019-03-12
2019-03-13,1469083.1849400303,20190313,0.029990804976913754,2019-03-13
2019-03-14,1420993.9329574262,20190314,-0.03273419264176469,2019-03-14
2019-03-15,1322999.2059082852,20190315,-0.06896210094661748,2019-03-15
2019-03-16,1308855.5626491813,20190316,-0.010690590890713225,2019-03-16
2019-03-17,1474157.378724749,20190317,0.12629492572961176,2019-03-17
2019-03-18,1436207.0025446462,20190318,-0.02574377520867721,2019-03-18
2019-03-19,1434532.6256252625,20190319,-0.0011658325829194682,2019-03-19
2019-03-20,1383137.632231082,20190320,-0.0358269951314486,2019-03-20
2019-03-21,1415851.5690044973,20190321,0.023651975053737617,2019-03-21
2019-03-22,1434769.9702861668,20190322,0.013361853527464884,2019-03-22
2019-03-23,1445819.4085580588,20190323,0.007701191480672165,2019-03-23
2019-03-24,1555464.303958273,20190324,0.07583581652812721,2019-03-24
2019-03-25,1579638.413934695,20190325,0.015541410956783075,2019-03-25
2019-03-26,1564870.731044854,20190326,-0.009348774225524492,2019-03-26
2019-03-27,1553900.4486530647,20190327,-0.007010344160801485,2019-03-27
2019-03-28,1495197.0484597932,20190328,-0.03777809591609049,2019-03-28
2019-03-29,1542508.626997001,20190329,0.0316423702052806,2019-03-29
2019-03-30,1539697.2187788042,20190330,-0.0018226207419469453,2019-03-30
2019-03-31,1571514.9135910696,20190331,0.020664903738347506,2019-03-31
2019-04-01,1480231.442054294,20190401,-0.058086290335090496,2019-04-01
2019-04-02,1391579.9314519593,20190402,-0.059890303694199676,2019-04-02
2019-04-03,1412271.1148716104,20190403,0.01486884292594115,2019-04-03
2019-04-04,1412897.3637035843,20190404,0.0004434338600989296,2019-04-04
2019-04-05,1448149.933583198,20190405,0.02495055252081957,2019-04-05
2019-04-06,1430842.4892492718,20190406,-0.011951417413735621,2019-04-06
2019-04-07,1383507.785675643,20190407,-0.03308170111614739,2019-04-07
2019-04-08,1441958.9527884026,20190408,0.04224852777696131,2019-04-08
2019-04-09,1429750.558230618,20190409,-0.008466534039805018,2019-04-09
2019-04-10,1473069.2944879131,20190410,0.03029810760200302,2019-04-10
2019-04-11,1483692.812639695,20190411,0.007211825126987481,2019-04-11
2019-04-12,1560106.7917773887,20190412,0.051502560696336186,2019-04-12
2019-04-13,1586249.1861925963,20190413,0.016756798030104214,2019-04-13
2019-04-14,1610187.5805330426,20190414,0.015091194087799353,2019-04-14
2019-04-15,1665785.5032993725,20190415,0.034528848339473894,2019-04-15
2019-04-16,1624164.2501384541,20190416,-0.024985961925158007,2019-04-16
2019-04-17,1657491.52375057,20190417,0.020519644863057795,2019-04-17
2019-04-18,1697633.01173568,20190418,0.02421821614766273,2019-04-18
2019-04-19,1810281.2695178515,20190419,0.0663560716618008,2019-04-19
2019-04-20,1908315.906756284,20190420,0.054154367550045324,2019-04-20
2019-04-21,1930369.81271907,20190421,0.011556737479735624,2019-04-21
2019-04-22,1956700.2436209999,20190422,0.01364009669465438,2019-04-22
2019-04-23,1956700.2436209999,20190423,0.0,2019-04-23
