Date,Symbol,Open,High,Low,Close,Volume,Market Cap,1Dreturn,Norm_Close,label,,prob_sell,prob_hold,prob_buy,pred
11/13/15,ETH,0.907721996,0.917308986,0.846023023,0.904096007,543671,67529353.67,-0.016905286,0.870607067,0,,0.2673,0.4535,0.2791,1
11/14/15,ETH,0.905469,0.906113029,0.876908004,0.888812006,372514,66410517.66,0.019752222,0.768788901,1,,0.2636,0.462,0.2744,1
11/15/15,ETH,0.891216993,0.921516001,0.874957025,0.906368017,411848,67745801.37,0.024928037,0.842626806,2,,0.2658,0.457,0.2772,1
11/16/15,ETH,0.906166017,0.94473201,0.891970992,0.928961992,620945,69458010.79,0.085060527,0.930560669,2,,0.2616,0.465,0.2735,1
11/17/15,ETH,0.924947977,1.032950044,0.905794024,1.007979989,1145440,75392161.96,-0.014544946,1.28318916,1,,0.2663,0.4539,0.2798,1
11/18/15,ETH,0.993214011,1.011569977,0.940515995,0.993318975,681104,74320768.77,-0.038041114,1.160341005,0,,0.2622,0.4602,0.2776,1
11/19/15,ETH,0.988713026,1.007969975,0.937497973,0.955532014,443528,71517342.45,-0.032036595,0.938293152,0,,0.2685,0.4461,0.2854,1
11/20/15,ETH,0.955735028,0.955735028,0.898576021,0.924920022,614335,69247997.8,0.055377761,0.757638437,2,,0.2652,0.4499,0.2849,1
11/21/15,ETH,0.928758025,0.978743017,0.920939982,0.976140022,455976,73107356.65,-0.008320555,0.976468167,1,,0.2718,0.4351,0.2931,1
11/22/15,ETH,0.979764998,0.984131992,0.958981991,0.968017995,372173,72523507.32,-0.021744454,0.902526081,0,,0.2701,0.4353,0.2947,1
11/23/15,ETH,0.967492998,0.969057024,0.933870018,0.946968973,441875,70970606.38,-0.049397567,0.76915566,0,,0.2764,0.4219,0.3017,1
11/24/15,ETH,0.946442008,0.948055029,0.895931005,0.900191009,524195,67487355.73,-0.04071802,0.514433237,0,,0.2762,0.419,0.3048,1
11/25/15,ETH,0.893827021,0.899492979,0.851105988,0.863537014,622991,64760707.32,0.023908617,0.313851109,2,,0.2814,0.4097,0.3089,1
11/26/15,ETH,0.863273025,0.903643012,0.804359972,0.88418299,947473,66330891.85,-0.018358206,0.39200957,0,,0.2833,0.404,0.3127,1
11/27/15,ETH,0.882099986,0.900050998,0.860695004,0.867950976,403813,65135634.93,0.055016958,0.288601234,2,,0.288,0.3985,0.3135,1
11/28/15,ETH,0.868102014,0.929292977,0.862121999,0.915702999,462464,68742122.27,-0.040503297,0.504506635,0,,0.2922,0.3903,0.3175,1
11/29/15,ETH,0.91414398,0.91415298,0.860532999,0.878614008,448358,65980041.54,-0.006254182,0.294076181,1,,0.2973,0.3857,0.317,1
11/30/15,ETH,0.879951,0.895053983,0.847696006,0.873118997,784439,65589555.37,0.001925316,0.243891983,1,,0.3051,0.3737,0.3212,1
12/1/15,ETH,0.878315985,0.886735976,0.85393697,0.874800026,652857,65738066.78,-0.061259714,0.229348978,0,,0.3117,0.3674,0.3208,1
12/2/15,ETH,0.873170972,0.878017008,0.81892401,0.821210027,506307,61730774.93,-0.011041023,-0.072639177,1,,0.3227,0.353,0.3243,1
12/3/15,ETH,0.818545997,0.837664008,0.785085976,0.812143028,539969,61070307.44,0.034351036,-0.155396193,2,,0.3292,0.3459,0.3249,1
12/4/15,ETH,0.812081993,0.859574974,0.802372992,0.840040982,241278,63189182.3,0.026661844,-0.034967663,2,,0.3383,0.3345,0.3272,0
12/5/15,ETH,0.841194987,0.872820973,0.824443996,0.862438023,232743,64895497.46,-0.031234733,0.055113116,0,,0.3472,0.3236,0.3291,0
12/6/15,ETH,0.866416991,0.882435977,0.833114982,0.835500002,443608,62889050.42,-0.029007808,-0.137215165,0,,0.3534,0.3154,0.3312,0
12/7/15,ETH,0.83632201,0.850790977,0.787649989,0.811263978,520409,61084950.77,0.013379129,-0.329997212,1,,0.3622,0.3042,0.3335,0
12/8/15,ETH,0.806024015,0.823644996,0.78232801,0.822117984,445903,61922409.11,-0.036431482,-0.322416937,0,,0.3625,0.3024,0.3351,0
12/9/15,ETH,0.82445401,0.82445401,0.770488024,0.792167008,624221,59687098.4,0.060882337,-0.619750614,2,,0.3685,0.295,0.3365,0
12/10/15,ETH,0.795589983,0.861590028,0.78729099,0.840395987,369589,63342630.27,0.106337988,-0.367671914,2,,0.3661,0.298,0.3359,0
12/11/15,ETH,0.839995027,0.929762006,0.819788992,0.929762006,801072,70101842.43,0.050777501,0.31415267,2,,0.3748,0.2937,0.3315,0
12/12/15,ETH,0.931195974,1.045369983,0.928546011,0.976972997,1376280,73686283.92,-0.02465675,0.716337213,0,,0.3762,0.2976,0.3262,0
12/13/15,ETH,0.971538007,0.989394009,0.937438011,0.952884018,273614,71894531.31,0.042122657,0.464183898,2,,0.3886,0.2951,0.3163,0
12/14/15,ETH,0.956619978,1.013100028,0.950178027,0.993022025,563436,74947759.99,0.021276465,0.910571474,2,,0.3918,0.3007,0.3075,0
12/15/15,ETH,0.990589023,1.028839946,0.982240021,1.014150023,578618,76568082.11,-0.022647531,1.14356275,0,,0.3976,0.3052,0.2972,0
12/16/15,ETH,1.01710999,1.018030047,0.974927008,0.991182029,320767,74858728.65,-0.050930122,0.822532852,0,,0.3863,0.3218,0.2919,0
12/17/15,ETH,0.993043005,0.997610986,0.911807001,0.940701008,640765,71069937.5,-0.021870959,0.207270169,0,,0.3587,0.353,0.2883,0
12/18/15,ETH,0.938327014,0.939493001,0.908080995,0.920126975,300787,69538662.89,-0.013101431,0.022752016,1,,0.3347,0.3814,0.2839,1
12/19/15,ETH,0.921523988,0.925873995,0.888916016,0.908071995,343535,68650438.89,-0.004610855,-0.120046632,1,,0.3133,0.4088,0.278,1
12/20/15,ETH,0.90824002,0.943184972,0.899441004,0.903885007,472164,68356312.62,-0.003445112,-0.180112578,1,,0.2985,0.4311,0.2704,1
12/21/15,ETH,0.906064987,0.917389989,0.891182005,0.900771022,549113,68143245.53,-0.040597442,-0.189555491,0,,0.2802,0.4529,0.2669,1
12/22/15,ETH,0.89497298,0.90952599,0.862058997,0.864202023,454249,65398931.85,-0.007087501,-0.74446435,1,,0.2692,0.4707,0.2601,1
12/23/15,ETH,0.861782014,0.882939994,0.856064975,0.85807699,334993,64957356.05,0.006042591,-0.812158126,1,,0.2585,0.483,0.2585,1
12/24/15,ETH,0.859432995,0.882817984,0.847599983,0.863261998,354646,65371538.35,0.008225775,-0.710470394,1,,0.2526,0.4946,0.2528,1
12/25/15,ETH,0.861993015,0.882556021,0.861993015,0.870362997,187114,65931377.21,-0.018107393,-0.582832719,0,,0.2479,0.4998,0.2523,1
12/26/15,ETH,0.870765984,0.89745301,0.838313997,0.854602993,425282,64758910.12,0.002061814,-0.814275001,1,,0.2431,0.5087,0.2482,1
12/27/15,ETH,0.853165984,0.861537993,0.841150999,0.856365025,164565,64913918.97,-0.013265429,-0.758551568,1,,0.2387,0.5126,0.2487,1
12/28/15,ETH,0.856356025,0.872394025,0.832931995,0.845004976,235134,64074279.06,0.033193949,-0.916865123,2,,0.2354,0.5178,0.2468,1
12/29/15,ETH,0.843834996,0.873054028,0.833231986,0.873054028,215742,66222901.17,0.044560761,-0.411581318,2,,0.2329,0.5193,0.2477,1
12/30/15,ETH,0.874257982,0.941098988,0.866647005,0.911957979,604078,69196765.3,0.023667794,0.274483641,2,,0.2306,0.5236,0.2457,1
