Date,Symbol,Open,High,Low,Close,Volume,Market Cap,1Dreturn,Norm_Close,label,,prob_sell,prob_hold,prob_buy,pred
8/4/13,BTC,104.9499969,105.9499969,103.5230026,105.1439972,0,1209797378,0.010233623,0.922531043,1,,0.304,0.3836,0.3124,1
8/5/13,BTC,105.1200027,107.7699966,105,106.2200012,0,1222677176,0.004989633,1.003370427,1,,0.3006,0.3845,0.315,1
8/6/13,BTC,106.7200012,107.3820038,105.5569992,106.75,0,1229098150,0,1.035829834,1,,0.2978,0.3852,0.317,1
8/7/13,BTC,106.75,106.75,106.75,106.75,0,1229098150,-0.035128806,1.03843222,0,,0.2945,0.3858,0.3197,1
8/8/13,BTC,106.75,106.75,101.2600021,103,0,1187105900,-0.001941718,0.702290552,1,,0.2917,0.3866,0.3217,1
8/9/13,BTC,103.0699997,105.75,101.9349976,102.8000031,0,1185307130,0.001945496,0.70781363,1,,0.2891,0.3869,0.324,1
8/10/13,BTC,102.8000031,103.9000015,102.4100037,103,0,1188153925,0.019417476,0.74972217,2,,0.2868,0.3874,0.3258,1
8/11/13,BTC,103,105.1900024,102.7549973,105,0,1211789250,0.015580967,0.958603023,2,,0.2852,0.3872,0.3276,1
8/12/13,BTC,105,108,103.5,106.6360016,0,1231248581,0.022168858,1.124069598,2,,0.2837,0.3867,0.3296,1
8/13/13,BTC,106.9899979,109.3499985,104.6500015,109,0,1259042650,0.032678867,1.327585606,2,,0.2831,0.3855,0.3315,1
8/14/13,BTC,109.5550003,114.9950027,108.0009995,112.5619965,0,1300656724,-0.022849618,1.623393349,0,,0.2819,0.3834,0.3347,1
8/15/13,BTC,112.5619965,113.2450027,109,109.9899979,0,1271404657,-0.009055319,1.349700487,0,,0.2815,0.3814,0.3371,1
8/16/13,BTC,109.9950027,112.3000031,108.5169983,108.9940033,0,1260352119,0.041341694,1.225868664,2,,0.281,0.3781,0.3409,1
8/17/13,BTC,108.9940033,113.75,108.2249985,113.5,0,1312996375,0,1.568207472,1,,0.2813,0.3747,0.344,1
8/18/13,BTC,112.75,114.6880035,112,113.5,0,1313544013,0.04845815,1.498550361,2,,0.2815,0.3707,0.3478,1
8/19/13,BTC,113.3799973,123.0619965,111.7710037,119,0,1377725475,0.018529427,1.872996208,2,,0.2819,0.3659,0.3523,1
8/20/13,BTC,119,123.0110016,117.5080032,121.2050018,0,1403829641,0.017284775,1.936224858,2,,0.2827,0.3609,0.3563,1
8/21/13,BTC,121.2099991,124.9140015,119.6819992,123.3000031,0,1428698678,-0.017437157,1.976589295,0,,0.2832,0.3544,0.3624,2
