,0
0,3535982.34985728
1,3381762.3563751946
2,2942182.3472280973
3,3009218.2866616673
4,3310910.732067392
5,3270061.9217300364
6,3343271.3255394027
7,3291160.4375329833
8,3211686.7690175907
9,3074506.2973391
10,3047744.0041716783
11,3078631.945946615
12,3065749.919661559
13,2947691.591565972
14,2970708.3900901508
15,2960226.708931758
16,2987596.8013089886
17,3135861.635532628
18,3233228.721562311
19,3269707.5336666442
20,3363836.706595382
21,3409858.7653081464
22,3668867.3243075483
23,3570498.853803974
24,3714168.9818258253
25,3721688.718721266
26,3689467.25947503
27,3531680.4738084422
28,3584402.651620468
29,3540560.832754735
30,3389160.1649351376
31,3126623.4658998586
32,3207438.2189528164
33,3226968.1059725084
34,3183941.43722973
35,3219313.971603013
36,3394998.2348873815
37,3347580.638083462
38,3153687.1769591575
39,3151518.2971266215
40,3237398.5367273483
41,3160482.679544372
42,3153832.417964694
43,3223782.4809492743
44,3166148.3916221177
45,3032301.864190074
46,2956426.8021760997
47,2983058.9454775522
48,2993096.449838918
49,3032632.231015608
50,3215537.131204176
51,3301517.285665488
52,3292494.0476541733
53,3286604.194003623
54,3217569.3002792667
55,3268500.261055402
56,3245552.431340237
57,3212424.0303215603
58,3144392.388089527
59,3163775.4334772853
60,3235768.9705631924
61,3220553.5356303025
62,3219754.524724653
