,0
0,1000000.0
1,1000000.0
2,1000000.0681127129
3,1000000.0644087202
4,1000000.5991420678
5,999992.2013217427
6,999988.8554217798
7,999988.8554217798
8,999989.4053418667
9,999989.3661132749
10,999971.2205461679
11,999941.9454835685
12,999938.8316943051
13,1000014.1313518788
14,1000054.9897362292
15,1000047.1921855141
16,1000299.1756407483
17,1000351.2256162586
18,1000245.4974737759
19,1000212.296222255
20,1000236.174666936
21,1000267.6657356435
22,1000907.4187723841
23,1000897.594954239
24,1001197.3887336926
25,1001893.7830501476
26,1001973.9018560398
27,1001862.7160809832
28,1003447.881489194
29,1002718.8549424076
30,1002651.0612962499
31,1003232.837624144
32,1004361.213493518
33,1003905.4275579713
34,1003962.0054744803
35,1004435.5054059938
36,1004356.7226170644
37,1003093.9940665098
38,1002813.5266342062
39,1002646.04938299
40,1003159.3779648795
41,1004354.7266672207
42,1004414.9111773695
43,1000962.7114283126
44,1001420.0189924837
45,1001365.2055293962
46,1002429.3293534794
47,1001854.3667295733
48,1002243.535576447
49,1002634.9462650465
50,1002541.826758801
51,1002217.3027080607
52,1002469.7986659164
53,1002378.1832067043
54,1002118.39065282
55,1004838.1840552437
56,1004396.5220121152
57,1003933.6974768612
58,1003964.7467301454
59,1003997.7284232872
60,1002952.0647867249
61,1002641.8328212779
62,1002427.2632762269
63,995448.5806116463
64,998131.3444804611
65,997487.6775890457
66,998037.997243205
67,997247.6091109051
68,1001366.3811500217
69,1000238.0700257189
70,997378.7634722535
71,997893.0976904457
72,999637.3001267379
73,998478.5718462808
74,998517.4656495843
75,998818.4886263333
76,997212.6081769424
77,997122.7206446613
78,996994.7453138044
79,996079.2679151744
80,996446.7073699345
81,996556.9362428027
82,996221.2323635118
83,997827.4320069848
84,997557.9314091658
85,996774.3694596394
86,996780.122796215
87,996516.6045829791
88,996723.9402611996
89,997140.334012759
90,996979.8059541088
91,997296.3660847723
92,997887.044810849
93,999241.2248606974
94,998596.4851038534
95,999186.6866007788
96,999954.6070150965
97,1000483.5135040937
98,1000353.7628376335
99,1001795.3499183774
100,1001924.9367973079
101,1001851.3385019591
102,1000668.6127530283
103,1000965.7968170528
104,1000937.1287326242
105,1001388.5419150696
106,1001407.83634879
107,1001454.3689605212
108,1001627.275673998
109,1001547.6854381774
110,1001224.8461564156
111,1001176.508046833
112,1000993.3532845508
113,1000715.0454697429
114,1000927.0731404483
115,1001067.4110948148
116,1001057.9034941155
117,1001084.1736138944
118,1001147.9621205872
119,1001286.6872413096
120,1000976.3175991486
121,1001079.0120482018
122,1001166.3001862555
123,1001175.1597978969
124,1001174.304265865
125,1001332.288587375
126,1000855.7588722282
127,1000875.035086508
128,1000950.5959296855
129,1000985.8676218325
130,1001120.4548318711
131,1001142.3321324674
132,1001064.6914947423
133,1001078.1521876543
134,1001102.66796372
135,1001361.1124420494
136,1001315.1133967442
137,1001053.3304044686
138,1001005.574852205
139,1001049.3596707532
140,1001099.7170469578
141,1001217.2980436778
142,1001215.0413145325
143,1001220.8293361184
144,1001268.99108327
145,1001246.7687851405
146,1001210.2186537285
147,1001106.4423885006
148,1001060.1393958473
149,1001095.7378419291
150,1001101.3843577813
151,1001096.6871261271
152,1001099.7003450561
153,1001099.6410409001
154,1001148.179739587
155,1001151.5614386093
156,1001149.7182335486
157,1001146.777661414
158,1001142.6924317479
159,1001140.1340220787
160,1001212.5961279046
161,1001204.4842132423
162,1001255.1931241669
163,1001369.165870902
164,1001377.3044034758
165,1001371.4312661885
166,1001377.5414976883
167,1001361.6714357194
168,1001370.576767564
169,1001374.8826788716
170,1001374.0899164489
171,1001367.3806762735
172,1001353.3095685673
173,1001355.681696603
174,1001374.5980706088
175,1001487.8453423552
176,1001467.5637805833
177,1001468.0307266781
178,1001482.5066249291
179,1001465.4454644627
180,1001487.6064118335
181,1001493.5441550884
182,1001502.1058781047
183,1001500.2511678631
184,1001531.605617683
185,1001433.6054870938
186,1001420.7094073258
187,1001434.4491422293
188,1000930.9369594315
189,1001075.8546473051
190,1001098.7098701313
191,1000907.5275789697
192,1001157.1612134215
193,1001259.5900583861
194,1001440.9640276311
195,1001667.1053732686
196,1003086.9354895118
197,1006637.8859804391
198,1006429.7690885558
199,1006914.3621569617
200,1006749.5588966545
201,1007197.512753351
202,1007272.293952
203,1009839.9497403887
204,1010101.6002231266
205,1010245.4989355536
206,1011040.7378557975
207,1010343.9624560578
208,1010743.7102187367
209,1010165.54116899
210,1010362.948137054
211,1012179.576259471
212,1016951.543652555
213,1019232.4277303717
214,1017794.0256631197
215,1018440.4186141142
216,1023931.7290099144
217,1022346.4142784071
218,1022967.6695636171
219,1023603.8385262823
220,1021609.1553781241
221,1015995.3734687478
222,1010477.6055609761
223,1012873.6770159145
224,1016839.3718618248
225,1016819.3110480913
226,1012880.2175684704
227,1015972.7749098998
228,1015059.3157548049
229,1014202.3433553434
230,1018417.6568736029
231,1018796.7342553317
232,1022580.6531399701
233,1016771.4844531551
234,1020166.6455922673
235,1018335.1476609396
236,1019325.0140899647
237,1013537.5523039252
238,1017740.3755064807
239,1015344.8994714038
240,1015108.4622544026
241,1014858.4673876583
242,1017461.5304496847
243,1015935.9629326038
244,1016506.1535324139
245,1017355.3176881627
246,1016931.4771721829
247,1020191.8137316896
248,1019009.9937747172
249,1018966.1047003665
250,1017565.4808471731
251,1017421.164747613
252,1014375.9569112419
253,1015461.8289273088
254,1016678.1250589903
255,1015070.9741608946
256,1014537.9472248158
257,1015137.1152750718
258,1015297.721846979
259,1015767.3236376161
260,1015273.8516831018
261,1007963.7891337678
262,1003640.37914507
263,989375.8411270725
264,993819.5224910011
265,996739.3039770675
266,995905.3495144187
267,999023.5060546487
268,1000212.5608987635
269,999794.7652461983
270,998999.8861405177
271,1000043.17448924
272,999302.8894112152
273,998921.5976144534
274,998430.737415942
275,994707.328557652
276,993873.8465845841
277,996581.4697308072
278,995406.2507395907
279,995715.7287849641
280,996098.5010455374
281,997867.5435964935
282,997753.6061974089
283,999332.1787343732
284,998323.4845029974
285,997315.3276624741
286,996553.1717934149
287,997158.9136499694
288,993912.4925133236
289,995270.3037205385
290,995334.2437351983
291,996457.383015955
292,995757.099269379
293,994636.0321687841
294,995776.3896585458
295,1003985.0205591002
296,1007846.7184110713
297,1007061.9225537258
298,1008559.6933633614
299,1010199.0524248774
300,1014812.5691841289
301,1013429.0647100956
302,1013687.974560726
303,1006739.1577191901
304,1007381.255595217
305,1007797.5658374839
306,1008407.8544463697
307,1006892.2891709526
308,1006812.4238402352
309,1006362.2873101024
310,1008086.9854306439
311,1007803.7828485179
312,1007398.8765540324
313,1002329.7619088402
314,1001938.8809828779
315,1004961.0470812635
316,1004859.5315215341
317,1004019.9954356055
318,1007427.5056038552
319,1006514.2536342357
320,1005823.4976229735
321,1006287.3091973702
322,1008280.6263084945
323,1010418.2777244074
324,1008883.3336648314
325,1009499.5701690791
326,1008512.2609639491
327,1009692.1082043216
328,1009952.098227052
329,1012128.8393815211
330,1013181.1497450843
331,1011922.7708541614
332,1013134.3945332665
333,1025336.7796134544
334,1022583.4276690413
335,1022917.3751559268
336,1024978.240915418
337,1023989.4512088406
338,1025711.5808751646
339,1024269.0182939507
340,1023523.9900227974
341,1019121.2422090198
