,0
0,124575.15984495752
1,176005.86301841028
2,4319.972878469154
3,22441.467544808984
4,-41199.83344671456
5,24119.6421916876
6,-1478.5459558782168
7,80851.24452770548
8,219354.15671855304
9,-73432.96616972331
10,-70448.4720981936
11,64446.881921513006
12,6851.745786875952
13,7620.589830482379
14,-14677.071224163286
15,-126126.98084257962
16,-50380.0255747661
17,-19846.98849485349
18,-37367.26979806507
19,-122593.91205181368
20,11573.940887415316
21,-35882.07324476261
22,-67001.91766576003
23,-140148.36862449488
24,81014.0770353775
25,-123458.33406631718
26,30064.051307195565
27,7446.625405779341
28,-15665.220183666795
29,-31188.26352417376
30,33569.072458358714
31,9122.643127963878
32,80056.34599269321
33,-51344.59184965701
34,25901.30856554676
35,-64603.29622658156
36,56151.55131978006
37,-35796.630993788596
38,49011.27055757446
39,57339.66268943087
40,12777.99054020457
41,-17676.676185179036
42,55486.46863408154
43,65930.58473810228
44,-15746.818552066106
45,-21604.486212902702
46,18223.887471024413
47,48735.76484920783
48,24465.816397530492
49,-4145.694533106871
50,31303.06250572577
51,-177485.94890783215
52,-81907.76687851385
53,-19373.710917781806
54,-74856.65081148176
55,23249.215054979315
56,8954.425242863363
57,-2639.133653409779
58,9500.881152275484
59,51388.58952657087
60,-1428.2370359629858
61,9466.727657936746
