,0
0,1728846.4027668454
1,1516198.4345661672
2,1385408.8879212795
3,1432243.1293299715
4,1358632.8001410908
5,1352682.9770882342
6,1207678.9693492947
7,1247862.2993181543
8,1175983.5494158103
9,1188940.5127155029
10,1324827.6708527177
11,1331321.508487115
12,1250023.5402259824
13,1311444.3840061277
14,1288167.1898007616
15,1211683.6769276168
16,1231197.8622009913
17,1168000.2589687237
18,1095402.6130273864
19,1064062.4099409939
20,1081456.9647685536
21,1124405.5118937492
22,1089677.0480894037
23,1065368.457611056
24,1084769.5586706782
25,1030880.172572301
26,1008720.8756405216
27,1006949.3270055967
28,1011963.5536493291
29,1103192.1178321387
30,1149981.509315423
31,1165466.3969439187
32,1286474.8665226616
33,1212450.2954269485
34,1249179.0720597035
35,1244903.4030656402
36,1269905.2529665418
37,1187942.6993298053
38,1200977.8702778243
39,1137677.419398908
40,1221830.6092587418
41,1189726.093125471
42,1203915.0709224865
43,1165468.918287249
44,1229263.9109844351
45,1245755.8797302372
46,1231467.9238741358
47,1247511.772306116
48,1290324.7294187879
49,1186560.9798602378
50,1209109.0219099561
51,1200261.8380794323
52,1199172.845600326
53,1200352.117732508
54,1201831.4160233364
55,1203260.0015378986
56,1197849.4423379353
57,1171143.4184354467
58,1213290.1382563717
59,1215668.5955379016
60,1217984.7991563126
61,1214681.0839330032
62,1234063.840734297
