,0
0,1000000.0
1,999958.162622093
2,999700.033146034
3,1000014.382146183
4,1000184.7941161119
5,1000156.243286171
6,999646.436816208
7,999354.28647434
8,999743.466158308
9,999525.007671288
10,999372.760241181
11,999039.529781281
12,1000015.529765381
13,1003194.387289444
14,1003940.980687539
15,1003838.253237617
16,1006060.758515497
17,1007081.6369524339
18,1004407.9223382899
19,1003777.1084272239
20,1004145.3122171069
21,1004590.476776207
22,1010255.3630100678
23,1010213.2899320169
24,1011830.1271901219
25,1016832.9162300149
26,1017348.7606001319
27,1016781.9091822489
28,1026986.2700242099
29,1022068.8667343269
30,1021691.9154442339
31,1024919.9484831849
32,1031679.9890951168
33,1028247.6179979728
34,1028632.0328740678
35,1031265.7701340389
36,1030795.2917060659
37,1023524.9809281558
38,1021983.07787818
39,1021172.5550141039
40,1023499.7932941939
41,1028654.8028881839
42,1028930.8255123298
43,1012423.2868131789
44,1014860.679001311
45,1014611.6479363309
46,1019531.2697464138
47,1016536.3268143968
48,1018426.6162944459
49,1020268.1547365849
50,1019815.798096436
51,1018063.692696553
52,1019661.00147869
53,1019057.234261656
54,1017511.225191741
55,1033425.580401631
56,1030722.9237295892
57,1027515.550827479
58,1027731.477559555
59,1027984.8345525819
60,1020337.546312492
61,1018308.599290468
62,1017023.974092446
63,975455.4171894479
64,990302.984759511
65,986895.0597244039
66,990104.7688802918
67,985398.158825299
68,1012649.4537914309
69,1005767.3193473208
70,986324.2244273869
71,989869.6844663429
72,1001011.41747637
73,992798.5413432869
74,993110.605489155
75,995220.9113090038
76,984057.8942051549
77,983426.53939014
78,982471.92925215
79,974972.6214881011
80,978400.135018118
81,979523.92300012
82,975831.0043421399
83,992132.6457220889
84,989570.964146148
85,981044.1418560359
86,981124.6496700039
87,978360.3699030528
88,980628.7960491427
89,985626.831398226
90,983827.5193183578
91,988017.9207864408
92,995003.3042644358
93,1009293.5094725818
94,1002667.1245764717
95,1009600.9812764957
96,1018077.5314204297
97,1023942.8331565198
98,1022382.3869686617
99,1038593.3869406247
100,1040223.0180006095
101,1039158.1114365676
102,1021801.5006887097
103,1026142.8573547858
104,1025711.1882929197
105,1033695.3447428569
106,1034080.0478867757
107,1035129.6569676507
108,1039653.7545836727
109,1036843.7119457626
110,1024591.9914059048
111,1021992.5574187677
112,1009990.8946367577
113,998269.8286938037
114,1006401.9954697307
115,1014004.0341547236
116,1013595.0167245797
117,1014629.8375897307
118,1017305.5003778767
119,1022726.5276437567
120,1010643.0993437327
121,1013592.6045988037
122,1016483.5067467797
123,1016961.5002758967
124,1017181.7716040306
125,1021690.1213691677
126,1007733.9376791457
127,1008867.7571191038
128,1013101.7386951016
129,1012519.6835960527
130,1018732.1277759848
131,1018665.0613840916
132,1016486.8771422406
133,1017524.0892371157
134,1018549.0445690957
135,1030451.8749740229
136,1027001.3304678767
137,1016427.5432270017
138,1014077.4033210897
139,1016732.3173769948
140,1018451.5327269556
141,1022554.6750900407
142,1022594.4947381826
143,1023362.4978532657
144,1027082.1213972636
145,1026188.6712805505
146,1025212.6530623616
147,1021698.8469007968
148,1020311.3281656317
149,1023503.817108741
150,1024873.302791439
151,1028942.4863254173
152,1026732.7417319088
153,1027564.0835751174
154,1035895.1661274516
155,1037217.7912940517
156,1032280.1997878479
157,1034141.1553764938
158,1045031.1142433719
159,1054345.2034856337
160,1067156.3146606132
161,1061233.454346587
162,1068568.1397363679
163,1082005.3107826868
164,1086694.1481121818
165,1094359.0784020028
166,1058939.107197057
167,1066133.0754083914
168,1076321.2217542452
169,1064895.6416579061
170,1070919.4602181376
171,1058630.393109323
172,1068288.6293001962
173,1062106.0056341714
174,1064276.9867352885
175,1084558.897334367
176,1082681.988107766
177,1082698.5684941495
178,1086128.154896405
179,1069011.1706305
180,1072296.4856504092
181,1075970.065699691
182,1077606.1087113898
183,1077603.3340798055
184,1081079.3383716831
185,1074793.3294445241
186,1074083.966839238
187,1075638.372363543
188,1045817.5294960792
189,1053278.7062451262
190,1054244.3882590043
191,1046878.046057555
192,1056125.8139327536
193,1059635.9772266282
194,1066631.5307378683
195,1073987.9892914472
196,1113235.1731799517
197,1224389.1377004837
198,1216865.881625634
199,1232006.4691999622
200,1227058.0404928315
201,1238147.1066129073
202,1240261.2775086693
203,1303473.1773682183
204,1310656.3619046574
205,1315251.3629129203
206,1336943.9595970777
207,1318479.072246538
208,1328946.807551734
209,1314316.312276683
210,1320259.6358066646
211,1381833.1020904984
212,1521522.2873549107
213,1588641.191581197
214,1548464.3108228522
215,1567567.2815198938
216,1722356.701007153
217,1684684.265919277
218,1700591.7149521115
